
Interface: 192.168.1.18 --- 0x3
  Internet Address      Physical Address      Type
  192.168.0.96          6a-62-94-9e-88-e2     dynamic   
  192.168.0.97          00-25-ab-6b-21-45     dynamic   
  192.168.0.101         ce-18-4f-6c-12-f3     dynamic   
  192.168.0.109         1c-69-7a-49-ae-ef     dynamic   
  192.168.0.119         00-22-64-27-20-30     dynamic   
  192.168.0.120         6c-4b-90-96-ac-91     dynamic   
  192.168.0.124         c4-34-6b-5f-ec-9b     dynamic   
  192.168.0.125         6c-4b-90-d9-a1-06     dynamic   
  192.168.0.129         8a-27-33-8e-20-e9     dynamic   
  192.168.0.144         6c-4b-90-96-ac-c4     dynamic   
  192.168.0.150         6c-4b-90-b1-fe-2f     dynamic   
  192.168.0.153         6c-4b-90-96-ac-ed     dynamic   
  192.168.0.163         a0-8c-fd-f2-ff-98     dynamic   
  192.168.0.177         9c-5a-81-bb-8e-94     dynamic   
  192.168.0.179         6c-4b-90-96-ac-b4     dynamic   
  192.168.0.182         c8-d3-ff-b1-ec-3e     dynamic   
  192.168.0.186         6c-4b-90-ac-7d-f3     dynamic   
  192.168.0.187         68-f7-28-1e-22-90     dynamic   
  192.168.0.197         6c-4b-90-b1-fd-72     dynamic   
  192.168.0.200         6c-4b-90-97-9d-69     dynamic   
  192.168.0.201         6c-4b-90-ac-b4-05     dynamic   
  192.168.0.202         6c-4b-90-b1-fb-f9     dynamic   
  192.168.0.206         6c-4b-90-b1-fd-2e     dynamic   
  192.168.0.208         6c-4b-90-96-ad-c9     dynamic   
  192.168.0.209         6c-4b-90-61-da-a8     dynamic   
  192.168.0.221         ec-b1-d7-3d-f4-a1     dynamic   
  192.168.0.254         c8-5a-cf-02-80-a4     dynamic   
  192.168.1.1           00-25-ab-6b-70-ac     dynamic   
  192.168.1.6           c8-5a-cf-02-7e-e3     dynamic   
  192.168.1.7           1c-69-7a-49-b2-e8     dynamic   
  192.168.1.11          a0-8c-fd-f3-3b-6f     dynamic   
  192.168.1.13          1c-69-7a-4b-2b-11     dynamic   
  192.168.1.24          8c-dc-d4-36-2e-e4     dynamic   
  192.168.1.28          8c-dc-d4-37-99-1e     dynamic   
  192.168.1.39          1c-69-7a-49-ae-55     dynamic   
  192.168.1.40          6c-4b-90-96-ac-e8     dynamic   
  192.168.1.44          c8-d3-ff-b1-ed-6e     dynamic   
  192.168.1.50          6c-4b-90-96-ac-ac     dynamic   
  192.168.1.62          6c-4b-90-61-da-d3     dynamic   
  192.168.1.82          6c-4b-90-ac-b4-5b     dynamic   
  192.168.1.85          c8-5a-cf-02-7f-79     dynamic   
  192.168.1.89          c8-5a-cf-02-8d-9d     dynamic   
  192.168.1.99          c8-5a-cf-02-82-f0     dynamic   
  192.168.1.110         6c-4b-90-61-db-03     dynamic   
  192.168.1.189         1c-69-7a-fe-69-a8     dynamic   
  192.168.1.190         1c-69-7a-fe-66-f2     dynamic   
  192.168.1.245         1c-69-7a-49-ae-56     dynamic   
  192.168.2.1           e0-23-ff-40-c4-87     dynamic   
  192.168.3.255         ff-ff-ff-ff-ff-ff     static    
  224.0.0.22            01-00-5e-00-00-16     static    
  224.0.0.251           01-00-5e-00-00-fb     static    
  224.0.0.252           01-00-5e-00-00-fc     static    
  239.255.255.250       01-00-5e-7f-ff-fa     static    
  255.255.255.255       ff-ff-ff-ff-ff-ff     static    
